event_name,catalog,m1_source,m2_source,chi_eff,final_mass_source,eta,loss_frac_obs,loss_frac_d0,loss_frac_spin_only,residual,domain,reason
GW241116_151753,GWTC-5.0,70.0,24.0,0.28,95.0,0.19013128112267993,-0.010638297872340425,0.027777017834101247,0.042358412247552546,0.038415315706441674,anomaly_or_non_BBH,negative_mass_defect
GW200308_173609,GWTC-3-confident,60.0,24.0,0.16,88.0,0.20408163265306123,-0.047619047619047616,0.030044908089848166,0.04206145369162573,0.07766395570889578,anomaly_or_non_BBH,negative_mass_defect
GW200115_042309,GWTC-3-confident,5.9,1.44,-0.15,7.2,0.15769661962001352,0.019073569482288784,0.010746698181628322,0.029104611910623968,-0.008326871300660461,anomaly_or_non_BBH,NS_or_mass_gap_component
GW190917_114630,GWTC-2.1-confident,9.7,2.1,-0.08,11.6,0.14629416834243036,0.016949152542372822,0.008134742351617374,0.02722534247174402,-0.008814410190755448,anomaly_or_non_BBH,NS_or_mass_gap_component
GW170817,GWTC-1-confident,1.46,1.27,0.0,2.8,0.2487890619758752,-0.02564102564102558,0.0473988885435811,0.047789885708491964,0.07303991418460667,anomaly_or_non_BBH,NS_or_mass_gap_component;negative_mass_defect
