energy_TeV,z_proxy,gamma,damping
10.0,0.01,7.283194035282819e-06,0.9999927168324871
12.742749857031335,0.11526315789473683,0.00010650465526065967,0.9998935010161588
16.237767391887218,0.22052631578947368,0.00013079262921574455,0.9998692159237673
20.6913808111479,0.3257894736842105,0.00036858330174694066,0.9996314846167335
26.366508987303583,0.43105263157894735,0.0006156285969902369,0.9993845608634134
33.59818286283781,0.5363157894736842,0.00033867550215161335,0.9996613818419224
42.81332398719393,0.641578947368421,0.00019011201708674466,0.9998099060530576
54.5559478116852,0.7468421052631579,0.00045319079420029805,0.9995469118812366
69.51927961775606,0.8521052631578947,0.00018830399248750458,0.9998117137355965
88.58667904100822,0.9573684210526315,0.0005411673357222154,0.9994589790689095
112.88378916846884,1.0626315789473684,0.0007894254032923949,0.9992108861109634
143.8449888287663,1.1678947368421053,0.0016307779689660742,0.9983705510268954
183.29807108324357,1.273157894736842,0.004840908716425032,0.9951707895977391
233.57214690901213,1.378421052631579,0.0005326603426500369,0.9994674814956853
297.63514416313194,1.4836842105263157,0.0003918054416853467,0.9996082713040433
379.26901907322497,1.5889473684210527,0.000932474943682002,0.9990679596759772
483.2930238571752,1.6942105263157894,0.000338026695994434,0.9996620304285925
615.8482110660267,1.7994736842105263,0.0005900026152059109,0.9994101714021119
784.7599703514607,1.904736842105263,0.0005750140318433457,0.9994251512570425
1000.0,2.01,0.0034900409781780583,0.9965160421360063
