event_name,catalog,m1_source,m2_source,chi_eff,final_mass_source,eta,loss_frac_obs,loss_frac_d0,loss_frac_spin_only,residual,domain
GW241130_110422,GWTC-5.0,11.1,6.5,0.04,17.0,0.23292226239669414,0.03409090909090917,0.04020890757802331,0.045345447251915805,0.00611799848711414,clean_BBH
GW241130_034908,GWTC-5.0,29.9,24.3,0.05,51.6,0.24733119102408732,0.04797047970479707,0.04756591783880071,0.048422954198550805,-0.0004045618659963626,clean_BBH
GW241129_021832,GWTC-5.0,30.4,23.0,0.17,50.6,0.24519911907867972,0.0524344569288389,0.04953280283721839,0.051064931505875655,-0.0029016540916205064,clean_BBH
GW241127_061008,GWTC-5.0,63.8,20.8,-0.16,83.0,0.18541432635291094,0.018912529550827357,0.019082159484981598,0.03429004774043476,0.00016962993415424107,clean_BBH
GW241125_010116,GWTC-5.0,60.0,47.0,0.09,101.0,0.2463097213730457,0.056074766355140186,0.047926008359944317,0.049106823101588426,-0.00814875799519587,clean_BBH
GW241124_024914,GWTC-5.0,42.0,26.0,0.04,67.0,0.23615916955017302,0.014705882352941176,0.04176512061434012,0.045990794586424966,0.027059238261398947,clean_BBH
GW241114_235258,GWTC-5.0,11.3,7.7,0.06,18.2,0.24102493074792244,0.04210526315789478,0.04455952736349489,0.047362223050113283,0.002454264205600111,clean_BBH
GW241114_024711,GWTC-5.0,47.0,25.0,0.12,68.9,0.22665895061728394,0.04305555555555548,0.03896213542769433,0.045790879158925546,-0.004093420127861146,clean_BBH
GW241113_163507,GWTC-5.0,19.3,14.4,0.5,31.7,0.24471466685451132,0.059347181008902176,0.06418917436200144,0.06589912517618912,0.004841993353099268,clean_BBH
GW241111_111552,GWTC-5.0,25.3,20.5,0.1,43.2,0.2472540569401804,0.05676855895196495,0.04866235306261313,0.04954491282024298,-0.00810620588935182,clean_BBH
GW241110_124123,GWTC-5.0,16.4,8.0,-0.31,23.7,0.22037086804622416,0.028688524590163907,0.033054996113997315,0.04143801340425757,0.0043664715238334074,clean_BBH
